,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
4662,Dale Ellis,SG,27,SEA,75,2790,19.3,.572,.171,.260,6.6,7.2,6.9,11.4,1.3,0.2,9.2,26.8,7.4,1.6,9.0,.155,4.3,-1.8,2.5,3.2,1987-1988,5.0
4676,Dale Schlueter,C,23,SFW,31,559,12.6,.469,,.522,,,,7.3,,,,,0.2,0.9,1.1,.095,,,,,1968-1969,1.0
4677,Dale Schlueter,C,24,SFW,63,685,11.8,.534,,.581,,,,4.7,,,,,0.7,0.9,1.6,.113,,,,,1969-1970,2.0
4678,Dale Schlueter,C,25,POR,80,1823,14.0,.527,,.414,,,15.0,13.2,,,,,2.3,2.2,4.4,.116,,,,,1970-1971,3.0
4679,Dale Schlueter,C,26,POR,81,2693,15.8,.581,,.485,,,15.0,14.2,,,,,5.4,0.9,6.3,.112,,,,,1971-1972,4.0
4680,Dale Schlueter,C,27,PHI,78,1136,15.3,.563,,.388,,,13.9,12.4,,,,,2.2,0.8,3.0,.126,,,,,1972-1973,5.0
4692,Damian Jones,C,21,GSW,10,85,5.3,.466,.000,.625,12.4,17.0,14.8,0.0,0.6,3.7,22.7,13.4,-0.1,0.1,0.0,.018,-7.7,-1.9,-9.7,-0.2,2016-2017,1.0
4693,Damian Jones,C,22,GSW,15,89,6.8,.517,.000,.227,6.8,10.6,8.8,2.9,0.5,2.7,14.2,13.9,0.0,0.1,0.1,.031,-5.3,-1.8,-7.1,-0.1,2017-2018,2.0
4694,Damian Jones,C,23,GSW,24,410,15.3,.720,.000,.500,8.4,11.0,9.8,8.7,1.4,5.1,15.1,11.1,1.0,0.5,1.5,.173,-0.6,1.7,1.1,0.3,2018-2019,3.0
4695,Damian Jones,C,24,ATL,55,887,15.6,.712,.051,.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,2.2,0.6,2.8,.152,-1.6,0.1,-1.5,0.1,2019-2020,4.0
4696,Damian Jones,C,25,LAL,8,112,17.1,.965,.000,.706,8.1,18.0,13.0,1.3,0.4,5.6,18.3,10.6,0.4,0.2,0.5,.235,-2.0,1.8,-0.2,0.1,2020-2021,5.0
4698,Damian Lillard,PG,22,POR,82,3167,16.4,.546,.391,.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,.088,2.1,-1.9,0.3,1.8,2012-2013,1.0
4699,Damian Lillard,PG,23,POR,82,2937,18.6,.568,.425,.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,7.8,1.8,9.6,.157,3.8,-0.6,3.2,3.9,2013-2014,2.0
4700,Damian Lillard,PG,24,POR,82,2925,20.7,.560,.421,.293,1.8,11.8,6.9,29.0,1.7,0.5,12.6,26.9,7.3,3.3,10.6,.174,4.3,0.3,4.7,4.9,2014-2015,3.0
4701,Damian Lillard,PG,25,POR,75,2676,22.2,.560,.414,.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,7.7,1.4,9.2,.165,5.7,-1.3,4.4,4.3,2015-2016,4.0
4702,Damian Lillard,PG,26,POR,75,2694,24.1,.586,.389,.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,.185,6.1,-1.1,5.0,4.8,2016-2017,5.0
4709,Damien Wilkins,SF,25,SEA,29,520,13.4,.500,.351,.202,6.9,8.7,7.8,8.5,2.3,1.5,8.0,17.7,0.7,0.3,1.0,.092,0.2,-0.2,0.0,0.3,2004-2005,1.0
4710,Damien Wilkins,SF,26,SEA,82,1525,13.1,.529,.129,.372,6.2,9.1,7.6,10.8,2.5,0.6,14.4,17.4,1.7,0.1,1.7,.054,-0.8,-0.9,-1.6,0.1,2005-2006,2.0
4711,Damien Wilkins,SF,27,SEA,82,2037,13.1,.535,.203,.282,5.1,8.4,6.7,12.0,2.4,0.6,14.6,17.7,1.8,1.0,2.8,.066,-0.7,-0.2,-0.9,0.6,2006-2007,3.0
4712,Damien Wilkins,SF,28,SEA,76,1843,11.3,.474,.230,.214,4.3,10.2,7.2,12.7,1.7,0.7,10.8,19.4,-0.1,1.2,1.0,.027,-2.0,-0.3,-2.3,-0.2,2007-2008,4.0
4713,Damien Wilkins,SG,29,OKC,41,636,8.3,.467,.338,.216,3.6,9.2,6.3,9.1,1.8,0.8,13.7,18.8,-0.4,0.4,0.0,.002,-3.8,-0.9,-4.7,-0.4,2008-2009,5.0
4723,Damion Lee,SG,25,ATL,15,404,12.0,.489,.395,.191,3.0,16.6,9.8,11.2,2.3,0.2,7.8,19.3,0.0,0.4,0.4,.046,-2.3,0.4,-1.9,0.0,2017-2018,1.0
4724,Damion Lee,SG,26,GSW,32,375,11.9,.578,.535,.173,2.4,15.3,9.1,4.5,1.6,0.0,7.4,16.8,0.3,0.4,0.7,.090,-1.2,-1.1,-2.2,0.0,2018-2019,2.0
4725,Damion Lee,SG,27,GSW,49,1423,12.7,.548,.468,.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19.0,0.9,0.8,1.7,.058,-1.5,-0.8,-2.3,-0.1,2019-2020,3.0
4726,Damion Lee,SG,28,GSW,57,1079,11.8,.636,.708,.161,2.2,15.4,8.9,9.1,1.7,0.7,9.3,12.8,1.4,1.3,2.7,.119,-0.7,0.9,0.2,0.6,2020-2021,4.0
4727,Damion Lee,SG,29,GSW,63,1256,10.9,.561,.488,.196,2.4,14.9,8.8,7.1,1.5,0.5,8.4,15.8,0.9,1.8,2.7,.102,-2.4,0.4,-2.0,0.0,2021-2022,5.0
4732,Damon Jones,PG,22,TOT,24,344,13.7,.494,.521,.143,1.9,12.8,7.2,20.1,2.0,0.0,11.8,18.5,0.4,0.3,0.7,.095,0.4,0.1,0.5,0.2,1998-1999,1.0
4733,Damon Jones,PG,23,TOT,55,612,13.1,.508,.548,.231,2.1,7.6,4.8,23.9,1.5,0.1,14.9,19.2,0.6,0.1,0.7,.053,0.8,-1.8,-0.9,0.2,1999-2000,2.0
4734,Damon Jones,PG,24,VAN,71,1415,13.0,.525,.555,.125,1.3,8.7,5.0,26.2,1.3,0.0,14.8,16.6,1.4,0.4,1.8,.062,0.7,-1.1,-0.3,0.6,2000-2001,3.0
