,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
16681,Nick Collison,C,32,OKC,81,1583,13.6,.624,.014,.264,9.6,14.2,12.1,11.3,1.7,1.4,17.3,11.5,3.2,2.1,5.2,.158,-0.2,1.1,0.9,1.2,2012-2013,9.0
16682,Nick Collison,PF,33,OKC,81,1353,11.8,.599,.071,.386,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,2.0,1.6,3.6,.128,-1.3,0.5,-0.9,0.4,2013-2014,10.0
16683,Nick Collison,PF,34,OKC,66,1101,11.2,.485,.237,.257,8.9,15.3,12.2,11.6,1.6,1.8,13.8,12.8,1.0,1.2,2.2,.097,-1.9,0.9,-1.0,0.3,2014-2015,11.0
16684,Nick Collison,PF,35,OKC,59,699,7.7,.498,.018,.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,0.1,0.7,0.8,.053,-3.6,0.5,-3.1,-0.2,2015-2016,12.0
16685,Nick Collison,PF,36,OKC,20,128,12.9,.622,.043,.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,.145,-1.3,1.1,-0.2,0.1,2016-2017,13.0
16686,Nick Collison,PF,37,OKC,15,75,13.2,.627,.000,.684,10.0,19.9,14.8,8.2,0.0,0.0,22.1,18.2,0.1,0.0,0.1,.064,-2.3,-1.9,-4.2,0.0,2017-2018,14.0
16687,Nick Fazekas,PF,22,DAL,4,9,13.8,.400,.000,.000,13.3,24.9,19.3,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,.021,0.0,-4.6,-4.6,0.0,2007-2008,1.0
16688,Nick Johnson,SG,22,HOU,28,262,4.8,.430,.280,.333,5.5,10.9,8.2,6.3,1.3,0.9,18.1,17.4,-0.4,0.2,-0.1,-0.020,-5.6,-0.9,-6.5,-0.3,2014-2015,1.0
16689,Nick Jones,PG,22,SDR,42,603,9.9,.433,,.297,,,,19.4,,,,,-0.3,0.5,0.2,.013,,,,,1967-1968,1.0
16690,Nick Jones,SG,25,SFW,81,1183,11.4,.476,,.289,,,4.1,13.9,,,,,0.5,0.7,1.3,.051,,,,,1970-1971,2.0
