,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,name
3,1982-83,27.0,LAL,NBA,PF,11.0,,12.8,1.1,2.5,0.429,0.0,0.1,0.0,1.1,2.5,0.444,0.429,0.2,0.4,0.5,1.7,2.3,4.0,0.3,0.0,0.2,0.5,2.2,2.4,Mark Landsberger
4,1983-84,28.0,ATL,NBA,PF,2.0,,2.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,Mark Landsberger
0,1986-87,24.0,WSB,NBA,PG,2.0,2.0,16.0,1.5,6.0,0.25,0.0,0.0,,1.5,6.0,0.25,0.25,0.0,0.0,,0.5,1.0,1.5,3.0,1.0,0.0,4.0,1.0,3.0,Ennis Whatley
1,1991-92,29.0,POR,NBA,PG,15.0,0.0,6.4,0.4,1.3,0.3,0.0,0.1,0.0,0.4,1.3,0.316,0.3,0.3,0.3,1.0,0.0,0.7,0.7,0.9,0.5,0.0,0.3,0.7,1.1,Ennis Whatley
2,1993-94,31.0,ATL,NBA,PG,11.0,0.0,10.3,0.8,2.5,0.321,0.0,0.0,,0.8,2.5,0.321,0.321,0.5,0.7,0.75,0.3,1.0,1.3,1.1,0.6,0.0,0.8,1.6,2.2,Ennis Whatley
3,1994-95,32.0,ATL,NBA,PG,3.0,0.0,6.3,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,0.0,0.0,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.7,0.0,Ennis Whatley
0,1981-82,25.0,SAS,NBA,SG,5.0,,1.2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,Roger Phegley
1,1982-83,26.0,SAS,NBA,SG,8.0,,4.8,1.1,2.1,0.529,0.4,0.5,0.75,0.8,1.6,0.462,0.618,0.4,0.5,0.75,0.1,0.9,1.0,0.1,0.0,0.0,0.1,0.8,3.0,Roger Phegley
2,1983-84,27.0,DAL,NBA,SG,1.0,,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,Roger Phegley
0,1971-72,25.0,NYK,NBA,C,11.0,,2.6,0.2,1.3,0.143,,,,0.2,1.3,0.143,0.143,0.4,0.4,1.0,,,0.6,0.1,,,,0.6,0.7,Luke Rackley
0,2006-07,24.0,ORL,NBA,PG,4.0,4.0,32.3,5.3,12.5,0.42,1.3,3.5,0.357,4.0,9.0,0.444,0.47,2.5,2.8,0.909,1.0,2.0,3.0,3.3,0.8,0.0,2.3,4.8,14.3,Jameer Nelson
1,2007-08,25.0,ORL,NBA,PG,10.0,10.0,33.3,5.7,11.3,0.504,2.0,4.1,0.488,3.7,7.2,0.514,0.593,2.8,3.7,0.757,0.4,3.7,4.1,4.7,0.3,0.2,2.1,4.3,16.2,Jameer Nelson
2,2008-09,26.0,ORL,NBA,PG,5.0,0.0,18.0,1.6,4.6,0.348,0.2,1.2,0.167,1.4,3.4,0.412,0.37,0.4,0.8,0.5,0.2,1.2,1.4,2.8,0.2,0.0,1.4,0.6,3.8,Jameer Nelson
3,2009-10,27.0,ORL,NBA,PG,14.0,14.0,34.2,6.5,13.6,0.479,2.4,6.0,0.393,4.1,7.6,0.547,0.566,3.6,4.4,0.823,0.6,2.9,3.6,4.8,1.0,0.0,2.5,2.7,19.0,Jameer Nelson
4,2010-11,28.0,ORL,NBA,PG,6.0,6.0,36.0,5.2,13.7,0.378,1.0,4.3,0.231,4.2,9.3,0.446,0.415,1.8,2.3,0.786,1.2,3.0,4.2,5.0,2.0,0.0,1.3,2.3,13.2,Jameer Nelson
